,Probabilidad predicciones de test
0,0.16926516987780565
1,0.10370513800224666
2,0.18427888539672596
3,0.08478795546146127
4,0.40068927383223035
5,0.17520145692077266
6,0.2164315103123678
7,0.24243413062280023
8,0.25585665765127386
9,0.07381069301205632
10,0.058213710332354396
11,0.46963284149475565
12,0.15414707979513562
13,0.31260611156581136
14,0.22186675431934352
15,0.15663791546144484
16,0.1540741086728411
17,0.30743744484299124
18,0.20603822668811914
19,0.028287610067271082
20,0.12355558108299881
21,0.17797374452959874
22,0.2910810030857782
23,0.06703042719991871
24,0.18261256947697624
25,0.19736357490594783
26,0.3634492626018048
27,0.029102856645229526
28,0.1839997586881934
29,0.4024430017435137
30,0.11187730330302613
31,0.08563222858954084
32,0.10698523739401104
33,0.3219001955542335
34,0.16234014729777443
35,0.19837358184815812
36,0.10383856570297247
37,0.39574702597082834
38,0.05461544243947034
39,0.1399038210229636
40,0.21225506613437653
41,0.25184839893411554
42,0.10795796064157644
43,0.0981723941469704
44,0.03512151690117792
45,0.12916724979937513
46,0.2112178232940945
47,0.11188325171376015
48,0.2767012083793933
49,0.13145526789594583
50,0.28200382103869015
51,0.05272776501590062
52,0.029791097163978517
53,0.1217279723904586
54,0.23861881213576125
55,0.07215091876108826
56,0.08805498487701877
57,0.2064175498996037
58,0.25586279696449193
59,0.35430721885108724
60,0.19271443281980322
61,0.19408416765096725
62,0.2390609276757452
63,0.0749317929402675
64,0.1572557565952381
65,0.11009288267513594
66,0.05099868743936541
67,0.10586630883241051
68,0.2736424537022742
69,0.16442291560489591
70,0.277821071602228
71,0.08673559648135919
72,0.0470042992869674
73,0.09954564839908808
74,0.06024026193517719
75,0.26765053965098573
76,0.09034208102004714
77,0.14844402977134996
78,0.06100523770015296
79,0.13894861991230778
80,0.41230402384440273
81,0.18360018231522146
82,0.2342438746281566
83,0.5107163331956058
84,0.05338183566000117
85,0.15880412744819522
86,0.09627961446256558
87,0.2593019343616237
88,0.3153532571154705
89,0.10636483399641294
90,0.2720559727222361
91,0.18404467829023108
92,0.4125056999511347
93,0.0662333152612315
94,0.1813305652288703
95,0.12413482256453344
96,0.19370398904297206
97,0.10140694024043972
98,0.232010229255992
99,0.38644133891680726
100,0.1915185875948325
101,0.0898435211994534
102,0.04172718367633622
103,0.05489319218132777
104,0.19814778755456716
105,0.19040509175105386
106,0.015173527037933817
107,0.18416433968527685
108,0.43185749435749415
109,0.11463110022432058
110,0.2332513153550044
111,0.22628051391760268
112,0.1571030226189747
113,0.28799842194657765
114,0.10974046355402291
115,0.22512567552710286
116,0.2638768795949427
117,0.08235777875608384
118,0.2024495629181572
119,0.23767156291687971
120,0.22898270361424375
121,0.21628279560273053
122,0.23984221301020905
123,0.17020719949916235
124,0.0846296224070795
125,0.2998671208043094
126,0.09422881686092055
127,0.4737018050078866
128,0.11766485901187064
129,0.26415736371173193
130,0.1300147596681689
131,0.04869618767923853
132,0.12977541472635137
133,0.11257087969450881
134,0.2265751610533056
135,0.1718700947514506
136,0.18703590822234883
137,0.07664466732263342
138,0.30739471977009364
139,0.026048154238582952
140,0.23844573251976048
141,0.09654250315713296
142,0.11244428658761743
143,0.16634754918653225
144,0.16234131914196984
145,0.20853539874002663
146,0.2788451112603654
147,0.07620166696883912
148,0.16859180025225365
149,0.1806254950322747
150,0.11089118378041082
151,0.04790421166293548
152,0.07853520075188403
153,0.12088945266911373
154,0.2862491309374346
155,0.1658803688464706
156,0.10525819911413133
157,0.11885390190474934
158,0.17767298614756244
159,0.20740022795960247
160,0.1965116541241998
161,0.14293800297040576
162,0.34459261966324123
163,0.3624471808793842
164,0.21546194877713484
165,0.027152872790958533
166,0.04810697776799472
167,0.020328142990800182
168,0.1910324997598554
169,0.3484518529684349
170,0.20584984695154193
171,0.20170358459046706
172,0.06054606817318682
173,0.29816907302783013
174,0.13371594003841997
175,0.07410009168483746
176,0.033715311681413375
177,0.10745500576009052
178,0.25730038535372524
179,0.13190895733268612
180,0.056912126590591194
181,0.31480071200908677
182,0.21244382579128337
183,0.17590984677225943
184,0.0715548732497885
185,0.113986433141468
186,0.1203941068347848
187,0.05685323778544117
188,0.10914806602943802
189,0.5226582112175332
190,0.29247172598454235
191,0.33030132001966495
192,0.03130436732131647
193,0.3719885723375254
194,0.07048124966868735
195,0.10511761486167726
196,0.045178173991733316
197,0.02522204172254023
198,0.15824537616661247
199,0.08332488290115406
200,0.2363632453363261
201,0.14625127597657375
202,0.06300700379713342
203,0.08853187057947773
204,0.10033344548089784
205,0.08917317681026557
206,0.10575168710761929
207,0.05838496369403649
208,0.02788700627683678
209,0.1587332661591268
210,0.07051386909313132
211,0.37752891241176384
212,0.1608082346367491
213,0.21582614286249077
214,0.17251900366800949
215,0.3141319561683471
216,0.0603603900899514
217,0.200193735126437
218,0.22428454314282398
219,0.14391083741781646
220,0.29111810811186367
221,0.07094780611729763
222,0.13690977454735992
223,0.18222816795847707
224,0.09692321175372019
225,0.19348420112100848
226,0.1266064757590181
227,0.4075068382776616
228,0.03969453333860114
229,0.10912721145771988
230,0.1853143717550497
231,0.39171594000720755
232,0.22598437975202423
233,0.19593622008876252
234,0.31293771056280956
235,0.18877012033791696
236,0.24784593624062062
237,0.15376062307767194
238,0.06682564140191259
239,0.18367098614383073
240,0.19563528906749253
241,0.3062192020973572
242,0.14582438351132268
243,0.2026886235510363
244,0.2717936204443787
245,0.03848105754885415
246,0.0968664339427051
247,0.1624800201374215
248,0.1757705257705258
249,0.04412248924960789
250,0.1003763961614095
251,0.049591602845000554
252,0.2088917018391753
253,0.06692108895498723
254,0.21441581539403065
255,0.1056503948951606
256,0.23034183699687194
257,0.23482687440091538
258,0.05953487817894597
259,0.18740801728089865
260,0.20434055116258495
261,0.21154673975553434
262,0.398797635756465
263,0.221482679118157
264,0.265438508446983
265,0.18322606375683978
266,0.5351200812899054
267,0.050059476268349654
268,0.2175214615892581
269,0.16200962408589525
270,0.371140692327133
271,0.06186883347796569
272,0.24338978425600138
273,0.20591991241030966
274,0.09338457368118384
275,0.1390225386112724
276,0.2360896259607734
277,0.31565439827241776
278,0.07517265377434869
279,0.14540429422231388
280,0.07583344911360863
281,0.09281055573428457
282,0.10106187754492837
283,0.23883902188772058
284,0.33003175367229837
285,0.20444356149739992
286,0.09184234917954812
287,0.24352782847299306
288,0.1897357207800876
289,0.2552403930768837
290,0.04661468475027797
291,0.3176384350113165
292,0.11248980194687865
293,0.14563135271309435
294,0.048163888841854935
295,0.33673229364510787
296,0.0860960680875935
297,0.1379284433477119
298,0.1106282057553244
299,0.2896394854448327
300,0.12749815313374635
301,0.1507077981654253
302,0.13367813464825057
303,0.2342776730488595
304,0.18118357596986928
305,0.31137794388531315
306,0.22066834009755246
307,0.05106889839271641
308,0.03969171130188079
309,0.08995057045904503
310,0.32582833279493306
311,0.10640064707177882
312,0.1174400615078581
313,0.25000281465884644
314,0.14225687489645614
315,0.11038456991846822
316,0.4267454813566477
317,0.16443662294202774
318,0.2721344759678344
319,0.19340759264737328
320,0.04900962189097782
321,0.5055509744541336
322,0.16384345409769135
323,0.20015616837650732
324,0.03789575929406438
325,0.22926320088741278
326,0.20955209260294
327,0.20476905392159622
328,0.1962994701653724
329,0.35796757825015174
330,0.012833133595845462
331,0.03969675961201384
332,0.34404104569527116
333,0.25991262247690333
334,0.15910752203101328
335,0.2560282375421169
336,0.11901933019238997
337,0.33885526515137687
338,0.2625113193358887
339,0.38176829215030395
340,0.2677116216747324
341,0.15427100404798885
342,0.2454910447183627
343,0.160074654175903
344,0.03032689956917275
345,0.042146256129306975
346,0.11118645335668177
347,0.05832223660492287
348,0.018376618775422363
349,0.056722331742040055
350,0.29894010940870364
351,0.29313269675931697
352,0.15140283299752258
353,0.3500111689774168
354,0.11195766725427743
355,0.0903901980104823
356,0.14897681801968937
357,0.12701258493997664
358,0.23756033210170804
359,0.17754270658980434
360,0.048183808982059394
361,0.1452616361888545
362,0.08488264717078278
363,0.030349248071082573
364,0.22140874298238972
365,0.17234313650481808
366,0.1446864986496093
367,0.1433132153471137
368,0.12042753777680569
369,0.06040948223151613
370,0.12834218959267724
371,0.05932744280201907
372,0.5057170567177021
373,0.12423128983920002
374,0.15914418748416748
375,0.07315423120507866
376,0.09681299349685492
377,0.21323096320866167
378,0.23921578495357163
379,0.14742878278215513
380,0.12210785134513949
381,0.14506641585274105
382,0.40252676637272855
383,0.11972664811647861
384,0.059578690299029256
385,0.18435865106248694
386,0.19869495237329837
387,0.12402012864946536
388,0.15881239020571025
389,0.11415649801020009
390,0.05415308953444546
391,0.2607018177992755
392,0.25208868378438615
393,0.09244496929861887
394,0.08165818017512932
395,0.2507952185918288
396,0.036838383307309853
397,0.17570946071521928
398,0.09522982636705982
399,0.20805428075592097
400,0.26485177888468026
401,0.15303952498421722
402,0.18178547754818936
403,0.33579286836547984
404,0.4457315877076904
405,0.34189041498363537
406,0.1901260227531414
407,0.11536630442413096
408,0.2996468991110068
409,0.2371388532589712
410,0.259919242897064
411,0.03762467915010289
412,0.18125954850977147
413,0.18916435195099204
414,0.2329472053923699
415,0.054110248526998285
416,0.4334877291756654
417,0.16921736916751864
418,0.07437087394714513
419,0.1033756889689093
420,0.24991412179190958
421,0.1110329798889121
422,0.1982706155053363
423,0.30646895016286857
424,0.0896845353973968
